Unnamed: 0,Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
4064,Run_4065,60.0,500.0,550.0,1e-10,100.0,32172.28487467278
4072,Run_4073,60.0,500.0,660.0,1e-10,100.0,38561.76965192732
4144,Run_4145,60.0,600.0,550.0,1e-10,100.0,32174.867275531673
4152,Run_4153,60.0,600.0,660.0,1e-10,100.0,38588.96081337089
4224,Run_4225,60.0,800.0,550.0,1e-10,100.0,32182.673652616515
4232,Run_4233,60.0,800.0,660.0,1e-10,100.0,38606.00095719459
4304,Run_4305,60.0,900.0,550.0,1e-10,100.0,32183.709067566542
4312,Run_4313,60.0,900.0,660.0,1e-10,100.0,38612.90762955744
4384,Run_4385,60.0,1000.0,550.0,1e-10,100.0,32186.008384154633
4392,Run_4393,60.0,1000.0,660.0,1e-10,100.0,38616.88600004444
4864,Run_4865,70.0,400.0,550.0,1e-10,95.19810308985302,30204.110469921015
4944,Run_4945,70.0,500.0,550.0,1e-10,100.0,32010.427633738534
4952,Run_4953,70.0,500.0,660.0,1e-10,95.82131879367428,36452.381366557696
5024,Run_5025,70.0,600.0,550.0,1e-10,100.0,32015.75395678399
5032,Run_5033,70.0,600.0,660.0,1e-10,100.0,38407.00073408556
5104,Run_5105,70.0,800.0,550.0,1e-10,100.0,32019.27098245726
5112,Run_5113,70.0,800.0,660.0,1e-10,100.0,38418.57690799511
5184,Run_5185,70.0,900.0,550.0,1e-10,100.0,32020.022919636
5192,Run_5193,70.0,900.0,660.0,1e-10,100.0,38420.5541723119
5264,Run_5265,70.0,1000.0,550.0,1e-10,100.0,32021.704779173862
5272,Run_5273,70.0,1000.0,660.0,1e-10,100.0,38423.859987290976
5824,Run_5825,80.0,500.0,550.0,1e-10,97.90263493754328,31101.524273837935
5832,Run_5833,80.0,500.0,660.0,1e-10,90.0458290833427,34337.50679990616
5904,Run_5905,80.0,600.0,550.0,1e-10,100.0,31827.910781449904
5912,Run_5913,80.0,600.0,660.0,1e-10,97.78646374585594,37270.31093101178
5984,Run_5985,80.0,800.0,550.0,1e-10,100.0,31828.88328927007
5992,Run_5993,80.0,800.0,660.0,1e-10,100.0,38193.45731518275
6064,Run_6065,80.0,900.0,550.0,1e-10,100.0,31829.3545506092
6072,Run_6073,80.0,900.0,660.0,1e-10,100.0,38194.82956717197
6144,Run_6145,80.0,1000.0,550.0,1e-10,100.0,31829.97947817797
6152,Run_6153,80.0,1000.0,660.0,1e-10,100.0,38195.00556220516
6704,Run_6705,90.0,500.0,550.0,1e-10,93.34785032301068,29677.979314930155
6784,Run_6785,90.0,600.0,550.0,1e-10,99.43037620915284,31615.900459546796
6792,Run_6793,90.0,600.0,660.0,1e-10,93.81831284689592,35791.39757808591
6864,Run_6865,90.0,800.0,550.0,1e-10,99.43048985898947,31616.39487929036
6872,Run_6873,90.0,800.0,660.0,1e-10,99.43050891205044,37939.62757944834
6944,Run_6945,90.0,900.0,550.0,1e-10,99.4305032295585,31616.69271440796
6952,Run_6953,90.0,900.0,660.0,1e-10,99.43053119633215,37939.717171324795
7024,Run_7025,90.0,1000.0,550.0,1e-10,99.430509914843,31616.733038289814
7032,Run_7033,90.0,1000.0,660.0,1e-10,99.43053676740256,37939.79880048651
7664,Run_7665,100.0,600.0,550.0,1e-10,98.69980831812414,31384.15661061513
7672,Run_7673,100.0,600.0,660.0,1e-10,90.77724934814574,34637.52905076943
7744,Run_7745,100.0,800.0,550.0,1e-10,98.70253591420338,31385.851913366307
7752,Run_7753,100.0,800.0,660.0,1e-10,98.70254828197972,37662.84946348003
7824,Run_7825,100.0,900.0,550.0,1e-10,98.7025492847724,31385.87655929782
7904,Run_7905,100.0,1000.0,550.0,1e-10,98.70255597005688,31385.9087336472
7912,Run_7913,100.0,1000.0,660.0,1e-10,98.70257613733185,37663.05447961124
