Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
Run_162,20.0,100.0,32.0,1e-09,83.0646794403589,25.19327336239985
Run_163,20.0,100.0,32.0,1e-08,83.0646920797249,25.193277195882214
Run_164,20.0,100.0,32.0,1e-07,83.06469667585803,25.193278589875693
Run_165,20.0,100.0,32.0,1e-06,83.064638075161,25.193260816456778
Run_166,20.0,100.0,32.0,1e-05,83.06393256873028,25.193046838427847
Run_167,20.0,100.0,32.0,0.0001,82.14447269513269,177.60943006971442
Run_168,20.0,100.0,32.0,0.0032,82.43559980886982,560.1386058288297
Run_169,20.0,100.0,80.0,1e-10,90.6176359520906,468.9966175413111
Run_170,20.0,100.0,80.0,1e-09,90.61744751063353,473.2319054746344
Run_171,20.0,100.0,80.0,1e-08,90.62532987889873,473.80803607532016
Run_172,20.0,100.0,80.0,1e-07,90.62517820650643,478.1309034926838
Run_173,20.0,100.0,80.0,1e-06,90.61961228932329,485.29787754953094
Run_174,20.0,100.0,80.0,1e-05,90.63000874239373,486.4800851305056
Run_175,20.0,100.0,80.0,0.0001,90.69653776900483,473.6449388881958
Run_176,20.0,100.0,80.0,0.0032,90.61893665775769,889.1061492343019
Run_177,20.0,100.0,160.0,1e-10,95.35476232832288,833.1947883908
Run_178,20.0,100.0,160.0,1e-09,95.35322951793424,841.1264590557314
Run_179,20.0,100.0,160.0,1e-08,95.3531835566033,844.3466672619682
Run_180,20.0,100.0,160.0,1e-07,95.35084182678924,854.9651396557675
Run_181,20.0,100.0,160.0,1e-06,95.35719827886544,837.1699191708606
Run_182,20.0,100.0,160.0,1e-05,95.35959516227668,830.8825261579758
Run_183,20.0,100.0,160.0,0.0001,95.35943199955165,820.8302293884242
Run_184,20.0,100.0,160.0,0.0032,94.99797370809708,1790.3211299191964
Run_185,20.0,100.0,250.0,1e-10,97.34005861938968,1904.422785479063
Run_186,20.0,100.0,250.0,1e-09,97.3399968473608,1911.6824209615145
Run_187,20.0,100.0,250.0,1e-08,97.33959679993588,1921.3941071798788
Run_188,20.0,100.0,250.0,1e-07,97.34002332108749,1925.3281023895659
Run_189,20.0,100.0,250.0,1e-06,97.34000567193635,1932.0272951007337
Run_190,20.0,100.0,250.0,1e-05,97.33705826370252,1956.4762637446554
Run_191,20.0,100.0,250.0,0.0001,97.33625081503963,1929.155301101051
Run_192,20.0,100.0,250.0,0.0032,97.04589874722704,2690.3011311761456
Run_193,20.0,100.0,300.0,1e-10,98.04744198831342,2091.2711729802154
Run_194,20.0,100.0,300.0,1e-09,98.04907453479026,2070.625103765206
Run_195,20.0,100.0,300.0,1e-08,98.04660242800064,2115.6910222764245
Run_196,20.0,100.0,300.0,1e-07,98.04743340886498,2108.835194402629
Run_197,20.0,100.0,300.0,1e-06,98.04736845018382,2114.660485725519
Run_198,20.0,100.0,300.0,1e-05,98.04835386112028,2091.8951450747254
Run_199,20.0,100.0,300.0,0.0001,98.04195972075269,2078.403128806601
Run_200,20.0,100.0,300.0,0.0032,97.72702655261708,3130.5744756205813
Run_201,20.0,100.0,350.0,1e-10,98.57306172262608,1933.7357263707231
Run_202,20.0,100.0,350.0,1e-09,98.57296297142348,1943.5332367173246
Run_203,20.0,100.0,350.0,1e-08,98.5730281051954,1943.3205568248109
Run_204,20.0,100.0,350.0,1e-07,98.57491068131284,1813.1698594787201
Run_205,20.0,100.0,350.0,1e-06,98.57309323896732,1940.9940043351148
Run_206,20.0,100.0,350.0,1e-05,98.57216035526626,1949.5446911450188
Run_207,20.0,100.0,350.0,0.0001,98.56536122991358,1816.5939420016882
Run_208,20.0,100.0,350.0,0.0032,98.2394402395821,3526.750636781542
Run_209,20.0,100.0,400.0,1e-10,98.91312212550577,4123.792000105116
Run_210,20.0,100.0,400.0,1e-09,98.914262885741,4115.581819834848
Run_211,20.0,100.0,400.0,1e-08,98.91247039383232,4165.919009394409
