Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
Run_203,20.0,100.0,350.0,1e-08,98.57302810519539,0.33612158517102725
Run_204,20.0,100.0,350.0,1e-07,98.57491068131284,0.3136103949561921
Run_205,20.0,100.0,350.0,1e-06,98.57309323896732,0.3357191788320041
Run_206,20.0,100.0,350.0,1e-05,98.57216035526626,0.33719812701415164
Run_207,20.0,100.0,350.0,0.0001,98.56536122991358,0.3142026328354933
Run_208,20.0,100.0,350.0,0.0032,98.2394402395821,0.6099956131142836
Run_209,20.0,100.0,400.0,1e-10,98.91312212550577,0.7132613809507949
Run_210,20.0,100.0,400.0,1e-09,98.914262885741,0.7118413276315981
Run_211,20.0,100.0,400.0,1e-08,98.91247039383231,0.7205477738678582
Run_212,20.0,100.0,400.0,1e-07,98.91307708340138,0.7204603475053596
Run_213,20.0,100.0,400.0,1e-06,98.91413419401422,0.7190813860523289
Run_214,20.0,100.0,400.0,1e-05,98.91167066667303,0.7278175254028801
Run_215,20.0,100.0,400.0,0.0001,98.90485919742,0.7282161710035067
Run_216,20.0,100.0,400.0,0.0032,98.6401495077039,0.6673194232644256
Run_217,20.0,100.0,450.0,1e-10,99.24960819592438,0.7915890653927058
Run_218,20.0,100.0,450.0,1e-09,99.24960901301473,0.7937908771259564
Run_219,20.0,100.0,450.0,1e-08,99.2492985186898,0.7974023464321178
Run_220,20.0,100.0,450.0,1e-07,99.24929034778653,0.8005697064933206
Run_221,20.0,100.0,450.0,1e-06,99.24911058791419,0.8035266773042741
Run_222,20.0,100.0,450.0,1e-05,99.24830166848872,0.8057816622379209
Run_223,20.0,100.0,450.0,0.0001,99.24158518598641,0.801919120968079
Run_224,20.0,100.0,450.0,0.0032,98.96260603504157,0.7128353206587335
Run_225,20.0,100.0,550.0,1e-10,99.75544148306747,0.9307329157549784
Run_226,20.0,100.0,550.0,1e-09,99.75612405061574,0.924821550841635
Run_227,20.0,100.0,550.0,1e-08,99.75544883688045,0.9354109356003538
Run_228,20.0,100.0,550.0,1e-07,99.75613073590026,0.9293441172689022
Run_229,20.0,100.0,550.0,1e-06,99.75535524289734,0.9401787635797294
Run_230,20.0,100.0,550.0,1e-05,99.75532181647479,0.9324369548112525
Run_231,20.0,100.0,550.0,0.0001,99.74675796702012,0.9346490170972724
Run_232,20.0,100.0,550.0,0.0032,99.4176213548403,1.381595826792297
Run_233,20.0,100.0,660.0,1e-10,100.15229122502147,0.9950356291943646
Run_234,20.0,100.0,660.0,1e-09,100.15238091925526,0.9936409718694355
Run_235,20.0,100.0,660.0,1e-08,100.15245891424117,0.9921428737188455
Run_236,20.0,100.0,660.0,1e-07,100.15240877460738,0.9960248708767152
Run_237,20.0,100.0,660.0,1e-06,100.15206336824114,1.008431492984837
Run_238,20.0,100.0,660.0,1e-05,100.15134470015654,1.0035982419801663
Run_239,20.0,100.0,660.0,0.0001,100.14271511207087,0.9946589964833089
Run_240,20.0,100.0,660.0,0.0032,99.81300245120927,1.6788548322729022
Run_241,20.0,200.0,32.0,1e-10,102.78454821816214,0.13387872339176082
Run_242,20.0,200.0,32.0,1e-09,102.78454821816214,0.14258428201350615
Run_243,20.0,200.0,32.0,1e-08,102.78454706912885,0.1525007494487734
Run_244,20.0,200.0,32.0,1e-07,102.78453787686266,0.16308696882726845
Run_245,20.0,200.0,32.0,1e-06,102.78444595420066,0.17619150163733038
Run_246,20.0,200.0,32.0,1e-05,102.78352098241446,0.19158416204176018
Run_247,20.0,200.0,32.0,0.0001,102.77427011551899,0.21540649368304454
Run_248,20.0,200.0,32.0,0.0032,102.45564318841593,0.28612202632543604
Run_249,20.0,200.0,80.0,1e-10,102.81437137680949,0.48191123419389414
Run_250,20.0,200.0,80.0,1e-09,102.8143713768095,0.4994695763793825
Run_251,20.0,200.0,80.0,1e-08,102.8143713768095,0.5183557680759153
Run_252,20.0,200.0,80.0,1e-07,102.81436218454331,0.5387263084801738
Run_253,20.0,200.0,80.0,1e-06,102.81426566574822,0.5607629278029811
Run_254,20.0,200.0,80.0,1e-05,102.81334184299529,0.5888604798044328
Run_255,20.0,200.0,80.0,0.0001,102.80408982706658,0.6198726374514053
Run_256,20.0,200.0,80.0,0.0032,102.48536638116845,0.7187403860979603
Run_257,20.0,200.0,160.0,1e-10,102.82389686265776,1.1371361509628826
Run_258,20.0,200.0,160.0,1e-09,102.82389686265776,1.1694692400529434
Run_259,20.0,200.0,160.0,1e-08,102.82389686265776,1.1949519995899425
Run_260,20.0,200.0,160.0,1e-07,102.82388767039157,1.2307081002283344
Run_261,20.0,200.0,160.0,1e-06,102.82379344966301,1.2589606142405756
Run_262,20.0,200.0,160.0,1e-05,102.82286962691012,1.2885304117009295
Run_263,20.0,200.0,160.0,0.0001,102.81361531291482,1.330084505509784
Run_264,20.0,200.0,160.0,0.0032,102.49485969408502,1.4477148657265346
Run_265,20.0,200.0,250.0,1e-10,102.82653697343243,1.9105041301916084
Run_266,20.0,200.0,250.0,1e-09,102.8265369734324,1.9390521978611248
Run_267,20.0,200.0,250.0,1e-08,102.8265369734324,1.9844018020357441
Run_268,20.0,200.0,250.0,1e-07,102.82652667809427,2.0149943454151904
Run_269,20.0,200.0,250.0,1e-06,102.82643402005098,2.0640551504326736
Run_270,20.0,200.0,250.0,1e-05,102.82550891038078,2.0970744072383614
Run_271,20.0,200.0,250.0,0.0001,102.8162548721535,2.1503883439290656
Run_272,20.0,200.0,250.0,0.0032,102.4974891418309,2.273326992284551
Run_273,20.0,200.0,300.0,1e-10,102.82674018379738,2.3351829427380566
Run_274,20.0,200.0,300.0,1e-09,102.82674018379738,2.3710554020139623
Run_275,20.0,200.0,300.0,1e-08,102.82673895816185,2.4267139068599826
Run_276,20.0,200.0,300.0,1e-07,102.8267291530779,2.4643796583175477
Run_277,20.0,200.0,300.0,1e-06,102.82663723041597,2.507899597767271
Run_278,20.0,200.0,300.0,1e-05,102.82571187561864,2.549088255671766
Run_279,20.0,200.0,300.0,0.0001,102.81645710201006,2.5923558440181496
Run_280,20.0,200.0,300.0,0.0032,102.49769014605195,2.7424230304280672
Run_281,20.0,200.0,350.0,1e-10,102.82620458108671,2.7728708031727325
Run_282,20.0,200.0,350.0,1e-09,102.82620458108673,2.819696912127581
Run_283,20.0,200.0,350.0,1e-08,102.82620353054199,2.86476646114258
Run_284,20.0,200.0,350.0,1e-07,102.82619407563965,2.9083191374037396
Run_285,20.0,200.0,350.0,1e-06,102.82610162770528,2.9491871560665426
Run_286,20.0,200.0,350.0,1e-05,102.8251760978172,2.9888781972045
Run_287,20.0,200.0,350.0,0.0001,102.81592184948099,3.0411586715755643
Run_288,20.0,200.0,350.0,0.0032,102.49716137188192,3.191288517003516
Run_289,20.0,200.0,400.0,1e-10,102.82468877639049,3.1714604334137917
Run_290,20.0,200.0,400.0,1e-09,102.82468969561714,3.2304892060745685
Run_291,20.0,200.0,400.0,1e-08,102.82468050335088,3.2745620120704664
Run_292,20.0,200.0,400.0,1e-07,102.8246713110847,3.3049605509608733
Run_293,20.0,200.0,400.0,1e-06,102.82457938842273,3.3660611395216242
Run_294,20.0,200.0,400.0,1e-05,102.8236601618029,3.4103101699844887
Run_295,20.0,200.0,400.0,0.0001,102.81440354974107,3.4736475120278296
Run_296,20.0,200.0,400.0,0.0032,102.49564333477818,3.635358046326859
Run_297,20.0,200.0,450.0,1e-10,102.82142051721195,3.581080838959714
Run_298,20.0,200.0,450.0,1e-09,102.82142133430227,3.6143724429323663
Run_299,20.0,200.0,450.0,1e-08,102.82142133430227,3.6777834434798757
Run_300,20.0,200.0,450.0,1e-07,102.82141316339899,3.726151730413659
Run_301,20.0,200.0,450.0,1e-06,102.82131511255955,3.7876471060890977
Run_302,20.0,200.0,450.0,1e-05,102.82039180048803,3.828046631198597
Run_303,20.0,200.0,450.0,0.0001,102.81114233796661,3.8743506843691775
Run_304,20.0,200.0,450.0,0.0032,102.49239540072155,4.036249755955678
Run_305,20.0,200.0,550.0,1e-10,102.80177187179558,4.213872093766235
Run_306,20.0,200.0,550.0,1e-09,102.80177254032404,4.264019030542231
Run_307,20.0,200.0,550.0,1e-08,102.80177254032401,4.288537396295702
Run_308,20.0,200.0,550.0,1e-07,102.801759169755,4.363988548590178
Run_309,20.0,200.0,550.0,1e-06,102.8016655757719,4.3945449766029165
Run_310,20.0,200.0,550.0,1e-05,102.8007430065098,4.471400436841706
Run_311,20.0,200.0,550.0,0.0001,102.7914905727508,4.511626142895898
Run_312,20.0,200.0,550.0,0.0032,102.47280306025692,4.704342365603158
Run_313,20.0,200.0,660.0,1e-10,102.76327922923426,4.675875941018385
Run_314,20.0,200.0,660.0,1e-09,102.7632797863413,4.733087266090667
Run_315,20.0,200.0,660.0,1e-08,102.76327421527087,4.771590159282237
Run_316,20.0,200.0,660.0,1e-07,102.76326864420045,4.81462455711205
Run_317,20.0,200.0,660.0,1e-06,102.76317393600326,4.869698375748457
Run_318,20.0,200.0,660.0,1e-05,102.762249138313,4.909369556331324
Run_319,20.0,200.0,660.0,0.0001,102.75300116141032,4.978602804604319
Run_320,20.0,200.0,660.0,0.0032,102.43443621246577,5.177378880782692
Run_321,20.0,300.0,32.0,1e-10,102.79649356808697,0.14640899206353786
Run_322,20.0,300.0,32.0,1e-09,102.79649356808697,0.15540055896101962
Run_323,20.0,300.0,32.0,1e-08,102.79649356808696,0.16556905742701647
Run_324,20.0,300.0,32.0,1e-07,102.7964832267875,0.1771611572779649
Run_325,20.0,300.0,32.0,1e-06,102.7963913041255,0.18940167217024179
Run_326,20.0,300.0,32.0,1e-05,102.79546633233929,0.2060059157249658
Run_327,20.0,300.0,32.0,0.0001,102.78621431641058,0.22734388344749987
Run_328,20.0,300.0,32.0,0.0032,102.46754717314286,0.29360934799149474
Run_329,20.0,300.0,80.0,1e-10,102.82088409741105,0.5087696771774325
Run_330,20.0,300.0,80.0,1e-09,102.8208840974111,0.5283782535183309
Run_331,20.0,300.0,80.0,1e-08,102.820879501278,0.545911621710428
Run_332,20.0,300.0,80.0,1e-07,102.8208703090118,0.5685513400548113
Run_333,20.0,300.0,80.0,1e-06,102.8207783863498,0.5889030723941623
Run_334,20.0,300.0,80.0,1e-05,102.81985456359686,0.6153299138102714
Run_335,20.0,300.0,80.0,0.0001,102.81060254766817,0.644188343063406
