,Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
1351,Run_1352,30.0,400.0,550.0,0.0032,100.0,32075.826323896352
1352,Run_1353,30.0,400.0,660.0,1e-10,100.0,37171.58921896636
1353,Run_1354,30.0,400.0,660.0,1e-09,100.0,37356.7331672501
1354,Run_1355,30.0,400.0,660.0,1e-08,100.0,37655.8063520131
1355,Run_1356,30.0,400.0,660.0,1e-07,100.0,37752.360145532504
1356,Run_1357,30.0,400.0,660.0,1e-06,100.0,38298.799146607154
1357,Run_1358,30.0,400.0,660.0,1e-05,100.0,38407.50305383581
1358,Run_1359,30.0,400.0,660.0,0.0001,100.0,38470.23403638529
1359,Run_1360,30.0,400.0,660.0,0.0032,100.0,38602.54864048109
1424,Run_1425,30.0,500.0,550.0,1e-10,100.0,30657.743711015053
1425,Run_1426,30.0,500.0,550.0,1e-09,100.0,31018.352764346742
1426,Run_1427,30.0,500.0,550.0,1e-08,100.0,31040.28241284342
1427,Run_1428,30.0,500.0,550.0,1e-07,100.0,31358.623453813638
1428,Run_1429,30.0,500.0,550.0,1e-06,100.0,31829.60978859706
1429,Run_1430,30.0,500.0,550.0,1e-05,100.0,31816.68046928419
1430,Run_1431,30.0,500.0,550.0,0.0001,100.0,31919.12903317675
1431,Run_1432,30.0,500.0,550.0,0.0032,100.0,32089.342095933465
1432,Run_1433,30.0,500.0,660.0,1e-10,100.0,37021.95561154578
1433,Run_1434,30.0,500.0,660.0,1e-09,100.0,37314.90287563351
1434,Run_1435,30.0,500.0,660.0,1e-08,100.0,37697.59981310036
1435,Run_1436,30.0,500.0,660.0,1e-07,100.0,37790.6425090094
1436,Run_1437,30.0,500.0,660.0,1e-06,100.0,38317.44841464353
1437,Run_1438,30.0,500.0,660.0,1e-05,100.0,38430.84053343602
1438,Run_1439,30.0,500.0,660.0,0.0001,100.0,38382.04862621376
1439,Run_1440,30.0,500.0,660.0,0.0032,100.0,38627.686773130656
1504,Run_1505,30.0,600.0,550.0,1e-10,100.0,30638.99187442942
1505,Run_1506,30.0,600.0,550.0,1e-09,100.0,30763.876030915653
1506,Run_1507,30.0,600.0,550.0,1e-08,100.0,31243.357997701227
1507,Run_1508,30.0,600.0,550.0,1e-07,100.0,31409.701646891877
1508,Run_1509,30.0,600.0,550.0,1e-06,100.0,31668.125556331823
1509,Run_1510,30.0,600.0,550.0,1e-05,100.0,31969.692728130794
1510,Run_1511,30.0,600.0,550.0,0.0001,100.0,31869.934231443895
